Partido,Total,Data,Sondagem,Proporção
PS,606,2019-12-12,INTERCAMPUS,0.339
PSD,606,2019-12-12,INTERCAMPUS,0.257
BE,606,2019-12-12,INTERCAMPUS,0.107
CDU,606,2019-12-12,INTERCAMPUS,0.063
PAN,606,2019-12-12,INTERCAMPUS,0.061
CH,606,2019-12-12,INTERCAMPUS,0.057
CDS-PP,606,2019-12-12,INTERCAMPUS,0.039
IL,606,2019-12-12,INTERCAMPUS,0.024
LIV,606,2019-12-12,INTERCAMPUS,0.011
PS,604,2019-11-20,INTERCAMPUS,0.349
PSD,604,2019-11-20,INTERCAMPUS,0.249
BE,604,2019-11-20,INTERCAMPUS,0.108
CDU,604,2019-11-20,INTERCAMPUS,0.081
CDS-PP,604,2019-11-20,INTERCAMPUS,0.029
PAN,604,2019-11-20,INTERCAMPUS,0.048
CH,604,2019-11-20,INTERCAMPUS,0.048
IL,604,2019-11-20,INTERCAMPUS,0.029
LIV,604,2019-11-20,INTERCAMPUS,0.027
PPR,1330,2019-09-23,ICS/ISCTE,0.002
PPM,1330,2019-09-23,ICS/ISCTE,0.001
PSD,1330,2019-09-23,ICS/ISCTE,0.197
CDU,1330,2019-09-23,ICS/ISCTE,0.049
NC,1330,2019-09-23,ICS/ISCTE,0.002
CH,1330,2019-09-23,ICS/ISCTE,0.004
PDR,1330,2019-09-23,ICS/ISCTE,0
IL,1330,2019-09-23,ICS/ISCTE,0.002
BE,1330,2019-09-23,ICS/ISCTE,0.074
PCTP/MRPP,1330,2019-09-23,ICS/ISCTE,0.002
JPP,1330,2019-09-23,ICS/ISCTE,0.003
PAN,1330,2019-09-23,ICS/ISCTE,0.027
PS,1330,2019-09-23,ICS/ISCTE,0.289
PURP,1330,2019-09-23,ICS/ISCTE,0.001
A,1330,2019-09-23,ICS/ISCTE,0.003
LIV,1330,2019-09-23,ICS/ISCTE,0.005
MAS,1330,2019-09-23,ICS/ISCTE,0
CDS-PP,1330,2019-09-23,ICS/ISCTE,0.03
PTP,1330,2019-09-23,ICS/ISCTE,0.002
MPT,1330,2019-09-23,ICS/ISCTE,0.001
RIR,1330,2019-09-23,ICS/ISCTE,0.005
Não sei,1330,2019-09-23,ICS/ISCTE,0.125
Abstenção,1330,2019-09-23,ICS/ISCTE,0.157
PS,605,2020-04-15,Pitagórica,0.343
PSD,605,2020-04-15,Pitagórica,0.189
BE,605,2020-04-15,Pitagórica,0.066
CH,605,2020-04-15,Pitagórica,0.059
CDU,605,2020-04-15,Pitagórica,0.045
PAN,605,2020-04-15,Pitagórica,0.021
CDS-PP,605,2020-04-15,Pitagórica,0.021
IL,605,2020-04-15,Pitagórica,0.021
